DS_CARGO,SQ_CANDIDATO,NR_CANDIDATO,NM_URNA_CANDIDATO,SG_PARTIDO,DS_GENERO,DS_GRAU_INSTRUCAO,DS_OCUPACAO,patrimonio_total,qtd_bens,tipo_principal
DEPUTADO ESTADUAL,40002536475,36026,INGRID MENDONÇA,AGIR,FEMININO,SUPERIOR COMPLETO,PSICÓLOGO,6926.53,1.0,Caderneta de poupança
DEPUTADO FEDERAL,40002532760,5512,ANA PAULA MESQUITA,PSD,FEMININO,SUPERIOR INCOMPLETO,OUTROS,5478.94,1.0,OUTROS BENS E DIREITOS
DEPUTADO ESTADUAL,40002534386,10700,RAUL DA RECICLAGEM,REPUBLICANOS,MASCULINO,ENSINO MÉDIO COMPLETO,OUTROS,5000.0,1.0,Dinheiro em espécie - moeda nacional
DEPUTADO ESTADUAL,40002532752,15016,ENFERMEIRA SOCORRO DUTRA,MDB,FEMININO,SUPERIOR COMPLETO,ENFERMEIRO,5000.0,1.0,Caderneta de poupança
DEPUTADO ESTADUAL,40002532757,15100,MÁRCIA SANTTOS,MDB,FEMININO,SUPERIOR COMPLETO,"CORRETOR DE IMÓVEIS, SEGUROS, TÍTULOS E VALORES",5000.0,1.0,Caderneta de poupança
DEPUTADO FEDERAL,40002552704,3322,EBERSON BATERA,MOBILIZA,MASCULINO,ENSINO MÉDIO COMPLETO,MÚSICO,5000.0,1.0,Quotas ou quinhões de capital
DEPUTADO ESTADUAL,40002534392,10333,ANNE MOTA,REPUBLICANOS,FEMININO,ENSINO MÉDIO COMPLETO,OUTROS,5000.0,1.0,Dinheiro em espécie - moeda nacional
DEPUTADO ESTADUAL,40002534388,10111,CLAUDIO SANTOS,REPUBLICANOS,MASCULINO,ENSINO MÉDIO INCOMPLETO,EMPRESÁRIO,5000.0,1.0,Dinheiro em espécie - moeda nacional
DEPUTADO ESTADUAL,40002551318,50011,NETE MOURA PROTETORA,PSOL,FEMININO,SUPERIOR COMPLETO,OUTROS,5000.0,1.0,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
DEPUTADO FEDERAL,40002549918,3333,DOUTORA ALICE MAFRA,MOBILIZA,FEMININO,SUPERIOR COMPLETO,VETERINÁRIO,5000.0,1.0,Quotas ou quinhões de capital
DEPUTADO FEDERAL,40002541619,4004,JÀRDEL INÁCIO,PSB,MASCULINO,SUPERIOR COMPLETO,FARMACÊUTICO,4484.85,6.0,Depósito bancário em conta corrente no País
DEPUTADO ESTADUAL,40002532786,55124,GRAZZY,PSD,FEMININO,SUPERIOR COMPLETO,ENFERMEIRO,4248.25,1.0,Outros fundos
DEPUTADO ESTADUAL,40002552705,10710,SGT. ANA CLAUDIA,REPUBLICANOS,FEMININO,SUPERIOR INCOMPLETO,POLICIAL MILITAR,3000.0,1.0,Dinheiro em espécie - moeda nacional
DEPUTADO ESTADUAL,40002534376,10369,LUCAS ABREU,REPUBLICANOS,MASCULINO,ENSINO MÉDIO COMPLETO,EMPRESÁRIO,3000.0,1.0,Dinheiro em espécie - moeda nacional
DEPUTADO FEDERAL,40002533203,1001,ADRIANA BORGES,REPUBLICANOS,FEMININO,SUPERIOR COMPLETO,ENFERMEIRO,3000.0,1.0,Dinheiro em espécie - moeda nacional
DEPUTADO ESTADUAL,40002534374,10300,EDVAN PURUS,REPUBLICANOS,MASCULINO,ENSINO MÉDIO COMPLETO,VIGILANTE,3000.0,1.0,Dinheiro em espécie - moeda nacional
DEPUTADO ESTADUAL,40002534378,10000,KARLA CAMPOS,REPUBLICANOS,FEMININO,SUPERIOR INCOMPLETO,EMPRESÁRIO,3000.0,1.0,Dinheiro em espécie - moeda nacional
DEPUTADO FEDERAL,40002533209,1044,JOSILDO OLIVEIRA,REPUBLICANOS,MASCULINO,ENSINO MÉDIO COMPLETO,MOTORISTA DE VEÍCULOS DE TRANSPORTE COLETIVO DE PASSAGEIROS,3000.0,1.0,Dinheiro em espécie - moeda nacional
1º SUPLENTE,40002550805,333,NEIDA FARIAS,MOBILIZA,FEMININO,SUPERIOR COMPLETO,CONTADOR,2294.7,6.0,"Aplicação de renda fixa (CDB, RDB e outros)"
2º SUPLENTE,40002550804,333,ANGELO REIS,MOBILIZA,MASCULINO,SUPERIOR COMPLETO,ECONOMISTA,2154.33,2.0,"Aplicação de renda fixa (CDB, RDB e outros)"
DEPUTADO FEDERAL,40002533202,1063,GLAUCIA REBELO,REPUBLICANOS,FEMININO,ENSINO MÉDIO COMPLETO,OUTROS,2000.0,1.0,Dinheiro em espécie - moeda nacional
DEPUTADO ESTADUAL,40002534379,10777,NAGLIA AMORIM,REPUBLICANOS,FEMININO,SUPERIOR COMPLETO,ASSISTENTE SOCIAL,2000.0,1.0,Dinheiro em espécie - moeda nacional
DEPUTADO ESTADUAL,40002532748,15444,CLÁUDIA TIKUNA,MDB,FEMININO,ENSINO MÉDIO COMPLETO,CANTOR E COMPOSITOR,2000.0,1.0,Caderneta de poupança
DEPUTADO ESTADUAL,40002534383,10500,ST MANOEL LOUREIRO,REPUBLICANOS,MASCULINO,SUPERIOR COMPLETO,POLICIAL MILITAR,2000.0,1.0,Dinheiro em espécie - moeda nacional
DEPUTADO FEDERAL,40002531439,1505,DRA. AMANDA PINHEIRO,MDB,FEMININO,SUPERIOR COMPLETO,ADVOGADO,1873.49,3.0,Depósito bancário em conta corrente no País
DEPUTADO ESTADUAL,40002532738,15079,MICHAELL SANTOS,MDB,MASCULINO,SUPERIOR COMPLETO,SERVIDOR PÚBLICO ESTADUAL,1073.8400000000001,3.0,Caderneta de poupança
DEPUTADO FEDERAL,40002536080,2766,DOUTORA AMANDA SOUZA,DC,FEMININO,SUPERIOR COMPLETO,ODONTÓLOGO,1000.0,1.0,Quotas ou quinhões de capital
DEPUTADO FEDERAL,40002536084,2789,PROFESSORA LENE MAIA,DC,FEMININO,SUPERIOR COMPLETO,PROFESSOR DE ENSINO FUNDAMENTAL,1000.0,1.0,Casa
DEPUTADO FEDERAL,40002546978,8000,ANA ROQUE,UP,FEMININO,SUPERIOR COMPLETO,"ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS",825.09,1.0,"Aplicação de renda fixa (CDB, RDB e outros)"
DEPUTADO FEDERAL,40002545597,6555,PROFESSOR ARQLEYDSSON,PCDOB,MASCULINO,SUPERIOR COMPLETO,SERVIDOR PÚBLICO FEDERAL,388.7,1.0,Caderneta de poupança
DEPUTADO ESTADUAL,40002532787,55190,CB MAILSON JESUS,PSD,MASCULINO,SUPERIOR COMPLETO,POLICIAL MILITAR,223.75,4.0,OUTROS BENS E DIREITOS
DEPUTADO FEDERAL,40002546977,8080,JOÃO LIMA,UP,MASCULINO,SUPERIOR INCOMPLETO,"ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS",120.17,1.0,"Aplicação de renda fixa (CDB, RDB e outros)"
DEPUTADO ESTADUAL,40002541614,20007,JAIRO DA VICAL,PODE,MASCULINO,ENSINO MÉDIO COMPLETO,EMPRESÁRIO,100.0,1.0,Depósito bancário em conta corrente no País
DEPUTADO FEDERAL,40002539048,1415,IANA NADINA,MISSÃO,FEMININO,ENSINO MÉDIO COMPLETO,OUTROS,98.16,2.0,Ações (inclusive as provenientes de linha telefônica)
DEPUTADO ESTADUAL,40002536493,36567,RONY DA PESCA,AGIR,MASCULINO,ENSINO MÉDIO COMPLETO,PESCADOR,65.75,1.0,Caderneta de poupança
DEPUTADO ESTADUAL,40002547000,12711,JÚNIOR RIBEIRO,PDT,MASCULINO,SUPERIOR COMPLETO,OUTROS,1.0,1.0,Depósito bancário em conta corrente no País
DEPUTADO ESTADUAL,40002541601,20190,SGT  LOIOLA,PODE,MASCULINO,SUPERIOR COMPLETO,POLICIAL MILITAR,0.54,2.0,Caderneta de poupança
GOVERNADOR,40002535267,16,GILBERTO VASCONCELOS,PSTU,MASCULINO,SUPERIOR COMPLETO,PROFESSOR DE ENSINO FUNDAMENTAL,0.0,0.0,
DEPUTADO ESTADUAL,40002534380,10013,MARCELO AMIL,REPUBLICANOS,MASCULINO,SUPERIOR COMPLETO,OUTROS,0.0,0.0,
DEPUTADO ESTADUAL,40002546997,12612,TATI DA NUTRIÇÃO,PDT,FEMININO,SUPERIOR COMPLETO,NUTRICIONISTA E ASSEMELHADOS,0.0,0.0,
DEPUTADO ESTADUAL,40002541611,20500,NAZARE PEREIRA,PODE,FEMININO,ENSINO MÉDIO COMPLETO,APOSENTADO (EXCETO SERVIDOR PÚBLICO),0.0,0.0,
DEPUTADO ESTADUAL,40002551307,18418,ROMANO,REDE,MASCULINO,ENSINO MÉDIO COMPLETO,OUTROS,0.0,0.0,
DEPUTADO ESTADUAL,40002541608,20234,PROFESSORA EDITH FALCÃO,PODE,FEMININO,SUPERIOR COMPLETO,PROFESSOR DE ENSINO SUPERIOR,0.0,0.0,
DEPUTADO ESTADUAL,40002532770,55321,LOREN,PSD,FEMININO,SUPERIOR COMPLETO,PRODUTOR DE ESPETÁCULOS PÚBLICOS,0.0,0.0,
DEPUTADO FEDERAL,40002540478,2210,JEAN BATISTA,PL,MASCULINO,ENSINO MÉDIO COMPLETO,GARÇOM,0.0,0.0,
