DS_CARGO,SQ_CANDIDATO,NR_CANDIDATO,NM_URNA_CANDIDATO,SG_PARTIDO,DS_GENERO,DS_GRAU_INSTRUCAO,DS_OCUPACAO,patrimonio_total,qtd_bens,tipo_principal
GOVERNADOR,40002541626,22,PROFESSORA MARIA DO CARMO,PL,FEMININO,SUPERIOR COMPLETO,EMPRESÁRIO,118473769.48,27.0,Outras participações societárias
SENADOR,40002531447,155,EDUARDO BRAGA,MDB,MASCULINO,SUPERIOR COMPLETO,SENADOR,60278559.1,81.0,"Aplicação de renda fixa (CDB, RDB e outros)"
1º SUPLENTE,40002542688,222,ALESSANDRO TONIZA,PL,MASCULINO,SUPERIOR COMPLETO,EMPRESÁRIO,23440559.98,44.0,Outras aplicações e Investimentos
DEPUTADO ESTADUAL,40002532780,55999,DR SANDOVAL CHEIRO DO POVO,PSD,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,23246824.33,17.0,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
DEPUTADO ESTADUAL,40002541745,44111,ADJUTO AFONSO,UNIÃO,MASCULINO,SUPERIOR COMPLETO,DEPUTADO,10543969.52,27.0,"Aplicação de renda fixa (CDB, RDB e outros)"
DEPUTADO ESTADUAL,40002542954,22444,MANOEL CUNHA,PL,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,EMPRESÁRIO,8268301.98,5.0,Prédio comercial
DEPUTADO ESTADUAL,40002532744,15005,SERGIO NUNES,MDB,MASCULINO,SUPERIOR COMPLETO,EMPRESÁRIO,8154000.0,2.0,Terreno
DEPUTADO ESTADUAL,40002532749,15111,SIMÃO PEIXOTO,MDB,MASCULINO,SUPERIOR INCOMPLETO,EMPRESÁRIO,7205806.14,11.0,Casa
1º SUPLENTE,40002531448,155,SANDRA BRAGA,MDB,FEMININO,SUPERIOR COMPLETO,EMPRESÁRIO,6435906.76,17.0,"Aplicação de renda fixa (CDB, RDB e outros)"
DEPUTADO FEDERAL,40002536433,7022,CORONEL MENEZES,AVANTE,MASCULINO,SUPERIOR COMPLETO,ADMINISTRADOR,5131698.2299999995,10.0,"Aplicação de renda fixa (CDB, RDB e outros)"
DEPUTADO ESTADUAL,40002532791,55007,ROZENHA,PSD,MASCULINO,ENSINO MÉDIO COMPLETO,DEPUTADO,4865378.82,15.0,OUTROS BENS E DIREITOS
GOVERNADOR,40002541741,44,ROBERTO CIDADE,UNIÃO,MASCULINO,SUPERIOR COMPLETO,GOVERNADOR,4285400.8,12.0,Terreno
DEPUTADO FEDERAL,40002540481,2222,ALFREDO NASCIMENTO,PL,MASCULINO,SUPERIOR COMPLETO,APOSENTADO (EXCETO SERVIDOR PÚBLICO),4190447.38,13.0,Outras aplicações e Investimentos
DEPUTADO ESTADUAL,40002536488,36777,TONY MEDEIROS,AGIR,MASCULINO,SUPERIOR COMPLETO,MÚSICO,4045908.68,11.0,Terreno
DEPUTADO ESTADUAL,40002537346,70111,JOÃO ROBERTO,AVANTE,MASCULINO,SUPERIOR COMPLETO,CONTADOR,3828095.0,6.0,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
DEPUTADO FEDERAL,40002534877,1516,CAILA CARIM,MDB,FEMININO,ENSINO MÉDIO COMPLETO,EMPRESÁRIO,3800000.0,2.0,Quotas ou quinhões de capital
DEPUTADO ESTADUAL,40002542966,22344,LUCIANA FRANÇA,PL,FEMININO,SUPERIOR COMPLETO,EMPRESÁRIO,3720895.63,12.0,"Aplicação de renda fixa (CDB, RDB e outros)"
DEPUTADO FEDERAL,40002531440,1500,JESUS ALVES,MDB,MASCULINO,SUPERIOR COMPLETO,EMPRESÁRIO,3708000.0,5.0,Quotas ou quinhões de capital
DEPUTADO ESTADUAL,40002541613,20444,PAULO PP,PODE,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,EMPRESÁRIO,3546644.12,17.0,Quotas ou quinhões de capital
SENADOR,40002537344,455,PLINIO VALÉRIO,PSDB,MASCULINO,SUPERIOR COMPLETO,JORNALISTA E REDATOR,3527132.51,23.0,Terreno
DEPUTADO ESTADUAL,40002542657,44222,VIVIAN AMORIM,UNIÃO,FEMININO,SUPERIOR COMPLETO,OUTROS,3442024.56,9.0,"Aplicação de renda fixa (CDB, RDB e outros)"
DEPUTADO FEDERAL,40002542670,4477,FAUSTO JR,UNIÃO,MASCULINO,SUPERIOR COMPLETO,DEPUTADO,3400000.0,4.0,Quotas ou quinhões de capital
DEPUTADO ESTADUAL,40002541593,20000,FELIPE SOUZA,PODE,MASCULINO,SUPERIOR COMPLETO,DEPUTADO,3393364.95,16.0,"Aplicação de renda fixa (CDB, RDB e outros)"
DEPUTADO FEDERAL,40002533210,1024,MASSAMI MIKI,REPUBLICANOS,MASCULINO,SUPERIOR COMPLETO,EMPRESÁRIO,3391527.65,18.0,"Aplicação de renda fixa (CDB, RDB e outros)"
DEPUTADO ESTADUAL,40002532735,15888,CORONEL WILSON MARQUES,MDB,MASCULINO,SUPERIOR COMPLETO,POLICIAL MILITAR,3287000.0,3.0,Casa
DEPUTADO FEDERAL,40002532763,5525,ATILA LINS,PSD,MASCULINO,SUPERIOR COMPLETO,DEPUTADO,3194270.92,8.0,Apartamento
DEPUTADO ESTADUAL,40002542662,11000,CEARAZIN SEMISERA,PP,MASCULINO,SUPERIOR COMPLETO,EMPRESÁRIO,3171252.48,6.0,Depósito bancário em conta corrente no País
DEPUTADO FEDERAL,40002542674,1111,TADEU DE SOUZA,PP,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,3099441.34,26.0,"Fundos: Ações, Mútuos de Privatização, Invest. Empresas Emergentes, Invest.Participação e Invest. Índice Mercado"
DEPUTADO ESTADUAL,40002534377,10007,RODRIGO GUEDES,REPUBLICANOS,MASCULINO,SUPERIOR COMPLETO,VEREADOR,3091617.64,17.0,Outras aplicações e Investimentos
DEPUTADO ESTADUAL,40002542663,44300,PROFESSORA JACQUELINE,UNIÃO,FEMININO,SUPERIOR COMPLETO,VEREADOR,3027257.71,13.0,Outras aplicações e Investimentos
DEPUTADO ESTADUAL,40002541616,20123,YOMARA LINS,PODE,FEMININO,SUPERIOR COMPLETO,VEREADOR,3012978.0,3.0,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
DEPUTADO ESTADUAL,40002541747,44789,WANDERLEY MONTEIRO,UNIÃO,MASCULINO,SUPERIOR COMPLETO,DEPUTADO,2926172.37,5.0,Casa
DEPUTADO ESTADUAL,40002546984,12123,HUDSON JORGE,PDT,MASCULINO,SUPERIOR COMPLETO,EMPRESÁRIO,2883000.0,11.0,Outros bens imóveis
DEPUTADO ESTADUAL,40002532789,55222,DELEGADO  AYSLAN MARQUES,PSD,MASCULINO,SUPERIOR COMPLETO,POLICIAL CIVIL,2871742.85,21.0,Casa
DEPUTADO FEDERAL,40002532762,5522,PAUDERNEY,PSD,MASCULINO,SUPERIOR COMPLETO,ENGENHEIRO,2860407.1300000004,22.0,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
2º SUPLENTE,40002531446,155,MIGUEL BIANGO,MDB,MASCULINO,SUPERIOR COMPLETO,ARQUITETO,2638383.0,27.0,Ações (inclusive as provenientes de linha telefônica)
DEPUTADO FEDERAL,40002542671,4411,PROFESSORA THEREZINHA RUIZ,UNIÃO,FEMININO,SUPERIOR COMPLETO,SERVIDOR PÚBLICO CIVIL APOSENTADO,2469000.0,10.0,Apartamento
DEPUTADO ESTADUAL,40002542653,11111,RODRIGO SÁ,PP,MASCULINO,SUPERIOR COMPLETO,VEREADOR,2436476.2,11.0,Depósito bancário em conta corrente no País
DEPUTADO ESTADUAL,40002532767,55055,WILKER BARRETO,PSD,MASCULINO,SUPERIOR COMPLETO,DEPUTADO,2404011.5500000003,14.0,Depósito bancário em conta corrente no País
DEPUTADO ESTADUAL,40002532734,15222,CRISTIANO DANGELO,MDB,MASCULINO,ENSINO MÉDIO COMPLETO,DEPUTADO,2363917.36,13.0,Terreno
DEPUTADO FEDERAL,40002545595,1350,DELEGADO TAYAH,PT,MASCULINO,SUPERIOR COMPLETO,SERVIDOR PÚBLICO ESTADUAL,2269704.33,8.0,Apartamento
DEPUTADO ESTADUAL,40002542659,44567,FREDERICO JUNIOR,UNIÃO,MASCULINO,LÊ E ESCREVE,OUTROS,2253137.38,6.0,Casa
DEPUTADO FEDERAL,40002540480,2211,SARGENTO SALAZAR,PL,MASCULINO,SUPERIOR COMPLETO,VEREADOR,2206000.0,6.0,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
DEPUTADO ESTADUAL,40002536496,36999,MARCELO PALHANO,AGIR,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,2203258.11,9.0,Aeronave
GOVERNADOR,40002532272,55,OMAR AZIZ,PSD,MASCULINO,SUPERIOR COMPLETO,SENADOR,2070608.0,5.0,Outras aplicações e Investimentos
DEPUTADO FEDERAL,40002531445,1515,ADAIL FILHO,MDB,MASCULINO,SUPERIOR COMPLETO,DEPUTADO,2037584.07,5.0,"Aplicação de renda fixa (CDB, RDB e outros)"
DEPUTADO ESTADUAL,40002536474,36236,MACKI SOARES,AGIR,MASCULINO,ENSINO MÉDIO COMPLETO,EMPRESÁRIO,2000000.0,1.0,Quotas ou quinhões de capital
DEPUTADO ESTADUAL,40002541749,44666,DR. GEORGE LINS,UNIÃO,MASCULINO,SUPERIOR COMPLETO,DEPUTADO,1993656.8599999999,10.0,Depósito bancário em conta corrente no País
DEPUTADO ESTADUAL,40002542968,22333,CABO MACIEL,PL,MASCULINO,ENSINO MÉDIO COMPLETO,DEPUTADO,1948505.65,8.0,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
DEPUTADO ESTADUAL,40002546980,12012,OTACÍLIO NEGREIROS,PDT,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,1926491.27,13.0,Outros bens imóveis
DEPUTADO ESTADUAL,40002545612,13633,PROFESSOR SINÉSIO,PT,MASCULINO,SUPERIOR COMPLETO,DEPUTADO,1854564.6099999999,8.0,Terreno
DEPUTADO ESTADUAL,40002537347,70190,DELEGADO PAULO MAVIGNIER,AVANTE,MASCULINO,SUPERIOR COMPLETO,SERVIDOR PÚBLICO ESTADUAL,1850509.4700000002,7.0,Outros bens móveis
DEPUTADO ESTADUAL,40002542965,22222,DELEGADO PÉRICLES,PL,MASCULINO,SUPERIOR COMPLETO,DEPUTADO,1843760.13,11.0,"Aplicação de renda fixa (CDB, RDB e outros)"
DEPUTADO FEDERAL,40002540485,2277,DELEGADO COSTA E SILVA,PL,MASCULINO,SUPERIOR COMPLETO,SERVIDOR PÚBLICO ESTADUAL,1812055.0,7.0,"Aplicação de renda fixa (CDB, RDB e outros)"
DEPUTADO ESTADUAL,40002534382,10100,COMANDANTE DAN,REPUBLICANOS,MASCULINO,SUPERIOR COMPLETO,SERVIDOR PÚBLICO CIVIL APOSENTADO,1810346.62,4.0,Apartamento
DEPUTADO ESTADUAL,40002542953,22147,SIPA GENTE DA GENTE,PL,MASCULINO,SUPERIOR COMPLETO,ENGENHEIRO,1785000.0,7.0,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
DEPUTADO ESTADUAL,40002545608,13055,ROMILDO PIMENTEL,PT,MASCULINO,ENSINO MÉDIO COMPLETO,EMPRESÁRIO,1750000.0,2.0,Apartamento
DEPUTADO FEDERAL,40002533204,1011,HISSA ABRAHÃO,REPUBLICANOS,MASCULINO,SUPERIOR COMPLETO,EMPRESÁRIO,1732682.75,5.0,Apartamento
DEPUTADO FEDERAL,40002536434,7025,RADYR JUNIOR,AVANTE,MASCULINO,SUPERIOR INCOMPLETO,EMPRESÁRIO,1718000.0,5.0,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
DEPUTADO ESTADUAL,40002537618,70222,JUNIOR MAR,AVANTE,MASCULINO,SUPERIOR COMPLETO,SERVIDOR PÚBLICO ESTADUAL,1707000.0,4.0,Casa
DEPUTADO FEDERAL,40002536438,7077,DRA. EUNICE NASCIMENTO,AVANTE,FEMININO,SUPERIOR COMPLETO,ADVOGADO,1675856.25,11.0,"Aplicação de renda fixa (CDB, RDB e outros)"
DEPUTADO FEDERAL,40002541622,4040,MELYSSA GEBER,PSB,FEMININO,SUPERIOR COMPLETO,LOCUTOR E COMENTARISTA DE RÁDIO E TELEVISÃO E RADIALISTA,1670000.0,3.0,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
DEPUTADO ESTADUAL,40002551311,18123,DANIELLE BARÉ,REDE,FEMININO,SUPERIOR COMPLETO,ADVOGADO,1657000.0,3.0,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
GOVERNADOR,40002550776,18,ISAEL MUNDURUKU,REDE,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,1657000.0,3.0,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
DEPUTADO ESTADUAL,40002532750,15015,JAIR SOUTO,MDB,MASCULINO,ENSINO MÉDIO COMPLETO,PRODUTOR AGROPECUÁRIO,1614067.13,12.0,Terreno
DEPUTADO ESTADUAL,40002537628,70999,GIVANCIR OLIVEIRA,AVANTE,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,MOTORISTA DE VEÍCULOS DE TRANSPORTE COLETIVO DE PASSAGEIROS,1610000.0,2.0,Casa
DEPUTADO ESTADUAL,40002545613,13610,ZÉ RICARDO,PT,MASCULINO,SUPERIOR COMPLETO,VEREADOR,1543595.0,13.0,Apartamento
1º SUPLENTE,40002541742,444,LUÍS MÁRIO BONATES,UNIÃO,MASCULINO,SUPERIOR COMPLETO,ADMINISTRADOR,1516270.63,9.0,Depósito bancário em conta corrente no País
DEPUTADO FEDERAL,40002540483,2255,DELEGADO PABLO,PL,MASCULINO,SUPERIOR COMPLETO,SERVIDOR PÚBLICO FEDERAL,1515524.03,37.0,Outras aplicações e Investimentos
DEPUTADO ESTADUAL,40002536482,36333,PHELIPPE SIDI,AGIR,MASCULINO,SUPERIOR COMPLETO,EMPRESÁRIO,1514424.7200000002,7.0,Quotas ou quinhões de capital
DEPUTADO ESTADUAL,40002537620,70777,KATY FEITOZA,AVANTE,FEMININO,SUPERIOR COMPLETO,EMPRESÁRIO,1500709.0,3.0,Outras aplicações e Investimentos
DEPUTADO ESTADUAL,40002536481,36036,JOÃO PAULO JANJÃO,AGIR,MASCULINO,SUPERIOR COMPLETO,VEREADOR,1500000.0,1.0,Quotas ou quinhões de capital
DEPUTADO ESTADUAL,40002546993,12321,REI NALDO,PDT,MASCULINO,ENSINO MÉDIO COMPLETO,EMPRESÁRIO,1500000.0,2.0,Outros bens imóveis
DEPUTADO ESTADUAL,40002532768,55233,MÁRCIA REGINA,PSD,FEMININO,SUPERIOR COMPLETO,CONTADOR,1499554.41,13.0,Dinheiro em espécie - moeda nacional
DEPUTADO ESTADUAL,40002542963,22233,VANGELA FREITAS,PL,FEMININO,SUPERIOR COMPLETO,ADVOGADO,1480000.0,2.0,Casa
DEPUTADO ESTADUAL,40002541746,44123,ALDENOR LIMA,UNIÃO,MASCULINO,SUPERIOR COMPLETO,VEREADOR,1479773.14,13.0,Depósito bancário em conta corrente no País
VICE-GOVERNADOR,40002532271,55,ALESSANDRA CAMPELO,PSD,FEMININO,SUPERIOR COMPLETO,DEPUTADO,1443073.26,6.0,Casa
GOVERNADOR,40002536086,70,DAVID ALMEIDA,AVANTE,MASCULINO,SUPERIOR COMPLETO,OUTROS,1432848.4,6.0,Apartamento
DEPUTADO ESTADUAL,40002542661,44433,CARLINHOS BESSA,UNIÃO,MASCULINO,SUPERIOR COMPLETO,DEPUTADO,1397132.48,8.0,Depósito bancário em conta corrente no País
DEPUTADO ESTADUAL,40002532751,15333,DAVID BEMERGUY,MDB,MASCULINO,ENSINO MÉDIO COMPLETO,EMPRESÁRIO,1376625.56,4.0,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
DEPUTADO ESTADUAL,40002537615,70789,EDUARDO ALFAIA,AVANTE,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,1375295.43,4.0,Casa
DEPUTADO ESTADUAL,40002542969,22722,ADRIANE MAGALHÃES,PL,FEMININO,SUPERIOR COMPLETO,ADVOGADO,1373000.0,6.0,Terreno
DEPUTADO ESTADUAL,40002542658,44133,SILVYANE CASTRO,UNIÃO,FEMININO,SUPERIOR COMPLETO,ADVOGADO,1363732.3,3.0,Apartamento
DEPUTADO ESTADUAL,40002536479,36070,DR. JOÃO FERNANDES,AGIR,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,1349124.7,8.0,Quotas ou quinhões de capital
DEPUTADO ESTADUAL,40002536486,36123,JENDER LOBATO,AGIR,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,1346735.29,6.0,Depósito bancário em conta corrente no País
DEPUTADO ESTADUAL,40002532737,15000,KENNEDY MARQUES PROTETOR,MDB,MASCULINO,SUPERIOR COMPLETO,VEREADOR,1286000.0,7.0,Terreno
DEPUTADO FEDERAL,40002539049,1456,EDGAR OLIVEIRA,MISSÃO,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,1242000.0,5.0,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
DEPUTADO ESTADUAL,40002554164,30170,WANDO FONTELES,NOVO,MASCULINO,SUPERIOR COMPLETO,EMPRESÁRIO,1200000.0,3.0,Apartamento
DEPUTADO ESTADUAL,40002541602,20100,DR. FELIX E BANCADA ATIVISTA,PODE,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,1155369.39,6.0,Sala ou conjunto
DEPUTADO FEDERAL,40002540484,2233,CORONEL ROSSES,PL,MASCULINO,SUPERIOR COMPLETO,VEREADOR,1106430.0,9.0,Terreno
1º SUPLENTE,40002535389,277,ISAÍAS AMAZONAS,DC,MASCULINO,SUPERIOR COMPLETO,EMPRESÁRIO,1100000.0,2.0,Quotas ou quinhões de capital
DEPUTADO ESTADUAL,40002537626,70089,DRA ALCINETE,AVANTE,FEMININO,SUPERIOR COMPLETO,FISIOTERAPEUTA E TERAPEUTA OCUPACIONAL,1064756.54,8.0,Casa
DEPUTADO ESTADUAL,40002547001,12345,LUIZ CASTRO,PDT,MASCULINO,SUPERIOR COMPLETO,SERVIDOR PÚBLICO ESTADUAL,983111.6,12.0,Outros bens imóveis
VICE-GOVERNADOR,40002536087,70,DRA. SHÁDIA,AVANTE,FEMININO,SUPERIOR COMPLETO,MÉDICO,977563.8,5.0,Quotas ou quinhões de capital
DEPUTADO ESTADUAL,40002541606,20999,CORONEL BONATES,PODE,MASCULINO,SUPERIOR COMPLETO,COMERCIANTE,975783.57,6.0,"Aplicação de renda fixa (CDB, RDB e outros)"
DEPUTADO ESTADUAL,40002532736,15789,THIAGO ABRAHIM,MDB,MASCULINO,SUPERIOR COMPLETO,DEPUTADO,950008.44,2.0,Apartamento
DEPUTADO ESTADUAL,40002532771,55123,EURICO TAVARES,PSD,MASCULINO,ENSINO MÉDIO COMPLETO,VEREADOR,915862.24,6.0,Consórcio não contemplado
DEPUTADO FEDERAL,40002531444,1551,BETH DOCINHO,MDB,FEMININO,SUPERIOR COMPLETO,EMPRESÁRIO,913095.4,16.0,Caderneta de poupança
DEPUTADO ESTADUAL,40002542667,44777,MÁRIO CÉSAR FILHO,UNIÃO,MASCULINO,SUPERIOR COMPLETO,DEPUTADO,891745.8200000001,4.0,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
DEPUTADO ESTADUAL,40002532747,15456,ELIZABETH OLIVEIRA,MDB,FEMININO,SUPERIOR COMPLETO,ADVOGADO,885000.0,3.0,Caderneta de poupança
VICE-GOVERNADOR,40002535266,16,JULIANA FROTA,PSTU,FEMININO,SUPERIOR COMPLETO,SERVIDOR PÚBLICO ESTADUAL,854138.24,6.0,Apartamento
DEPUTADO ESTADUAL,40002536476,36000,DANIEL LIMA,AGIR,MASCULINO,SUPERIOR COMPLETO,POLICIAL CIVIL,843806.44,4.0,Caderneta de poupança
DEPUTADO ESTADUAL,40002536491,36456,O KEITTON,AGIR,MASCULINO,SUPERIOR COMPLETO,SERVIDOR PÚBLICO ESTADUAL,840407.14,8.0,Depósito bancário em conta corrente no País
2º SUPLENTE,40002541743,444,BABÁ TUPINAMBÁ,PP,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,VEREADOR,811631.13,6.0,Quotas ou quinhões de capital
DEPUTADO FEDERAL,40002536447,3000,SORAYA COHEN,NOVO,FEMININO,SUPERIOR COMPLETO,AGENTE DE VIAGEM,800000.0,1.0,Casa
DEPUTADO ESTADUAL,40002537621,70456,JUNIOR VELOSO,AVANTE,MASCULINO,SUPERIOR INCOMPLETO,EMPRESÁRIO,788937.25,4.0,Terreno
DEPUTADO FEDERAL,40002541617,4007,LOIRA DO SALGADO,PSB,FEMININO,ENSINO MÉDIO COMPLETO,OUTROS,782317.0,8.0,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
DEPUTADO ESTADUAL,40002532753,15123,FELIPE LOBO,MDB,MASCULINO,SUPERIOR COMPLETO,EMPRESÁRIO,768565.47,4.0,Quotas ou quinhões de capital
DEPUTADO ESTADUAL,40002541610,20789,GLENIO SEIXAS,PODE,MASCULINO,SUPERIOR INCOMPLETO,EMPRESÁRIO,763084.0,4.0,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
DEPUTADO ESTADUAL,40002553901,22012,NÍSSIA AGUIAR,PL,FEMININO,SUPERIOR COMPLETO,EMPRESÁRIO,750000.0,1.0,Casa
DEPUTADO FEDERAL,40002536432,7070,DRA ARYEL ALMEIDA,AVANTE,FEMININO,SUPERIOR COMPLETO,MÉDICO,740812.0,3.0,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
DEPUTADO ESTADUAL,40002541607,20777,MARCIO BRAGA MANINHO,PODE,MASCULINO,SUPERIOR COMPLETO,LOCUTOR E COMENTARISTA DE RÁDIO E TELEVISÃO E RADIALISTA,719000.0,2.0,Apartamento
DEPUTADO ESTADUAL,40002546982,12111,MARCOS CAVALCANTE,PDT,MASCULINO,SUPERIOR COMPLETO,SERVIDOR PÚBLICO FEDERAL,712000.0,2.0,Casa
DEPUTADO ESTADUAL,40002536912,30456,ZÉ REAL,NOVO,MASCULINO,SUPERIOR INCOMPLETO,JORNALISTA E REDATOR,700000.0,2.0,Casa
DEPUTADO ESTADUAL,40002532745,15666,ANDERSON ALMADA,MDB,MASCULINO,ENSINO MÉDIO COMPLETO,EMPRESÁRIO,700000.0,3.0,Casa
SENADOR,40002542686,222,CAPITÃO ALBERTO NETO,PL,MASCULINO,SUPERIOR COMPLETO,DEPUTADO,655440.85,8.0,Outras aplicações e Investimentos
DEPUTADO FEDERAL,40002545593,1377,LUIZ BORGES,PT,MASCULINO,SUPERIOR COMPLETO,OUTROS,655000.0,4.0,Casa
DEPUTADO ESTADUAL,40002534387,10800,DRA. JOSEPHA ABREU,REPUBLICANOS,FEMININO,SUPERIOR COMPLETO,MÉDICO,653755.44,7.0,Apartamento
DEPUTADO FEDERAL,40002531442,1545,ARTHUR NETO,MDB,MASCULINO,SUPERIOR COMPLETO,DIPLOMATA,648676.96,3.0,Apartamento
2º SUPLENTE,40002537345,455,PROFESSORA JUDITE,PSDB,FEMININO,SUPERIOR COMPLETO,PROFESSOR DE ENSINO FUNDAMENTAL,635956.26,7.0,Outros fundos
DEPUTADO ESTADUAL,40002546990,12200,AMANDA MOTOTÁXI,PDT,FEMININO,ENSINO MÉDIO COMPLETO,MOTOBOY,635000.0,4.0,Outros bens imóveis
DEPUTADO ESTADUAL,40002537623,70333,ELAN ALENCAR,AVANTE,MASCULINO,ENSINO MÉDIO COMPLETO,EMPRESÁRIO,620000.0,2.0,Casa
DEPUTADO ESTADUAL,40002542655,44321,MARCELLUS CAMPÊLO,UNIÃO,MASCULINO,SUPERIOR COMPLETO,ENGENHEIRO,607990.0,2.0,Quotas ou quinhões de capital
DEPUTADO FEDERAL,40002536435,7001,JOELSON SILVA,AVANTE,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,602981.69,5.0,Casa
DEPUTADO ESTADUAL,40002532769,55255,CAPITÃO ISAÍAS,PSD,MASCULINO,SUPERIOR COMPLETO,POLICIAL MILITAR,600000.0,1.0,Casa
DEPUTADO ESTADUAL,40002536490,36111,JOANA DANTAS,AGIR,FEMININO,ENSINO MÉDIO COMPLETO,EMPRESÁRIO,600000.0,2.0,Casa
DEPUTADO ESTADUAL,40002532775,55555,BOSCO SARAIVA,PSD,MASCULINO,SUPERIOR COMPLETO,EMPRESÁRIO,599329.3,7.0,OUTROS BENS E DIREITOS
SENADOR,40002541744,444,WILSON LIMA,UNIÃO,MASCULINO,SUPERIOR COMPLETO,JORNALISTA E REDATOR,597210.85,4.0,Apartamento
DEPUTADO ESTADUAL,40002532779,55888,LEILANE OLIVEIRA,PSD,FEMININO,ENSINO MÉDIO COMPLETO,EMPRESÁRIO,585000.0,3.0,Apartamento
DEPUTADO ESTADUAL,40002542666,44444,DR. GOMES,UNIÃO,MASCULINO,SUPERIOR COMPLETO,DEPUTADO,554943.25,4.0,Apartamento
DEPUTADO ESTADUAL,40002537627,70000,ABDALA FRAXE,AVANTE,MASCULINO,SUPERIOR COMPLETO,ECONOMISTA,554165.18,2.0,Casa
DEPUTADO FEDERAL,40002536436,7012,PROFESSOR DALMIR SALAZAR,AVANTE,MASCULINO,SUPERIOR COMPLETO,PROFESSOR DE ENSINO MÉDIO,550000.0,2.0,Casa
DEPUTADO ESTADUAL,40002545602,13116,HERBERT AMAZONAS,PT,MASCULINO,ENSINO MÉDIO COMPLETO,APOSENTADO (EXCETO SERVIDOR PÚBLICO),549800.0,3.0,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
DEPUTADO ESTADUAL,40002541599,20456,CORONEL VINICIUS ALMEIDA,PODE,MASCULINO,SUPERIOR COMPLETO,POLICIAL MILITAR,544915.08,19.0,OUTROS BENS E DIREITOS
DEPUTADO FEDERAL,40002536077,2777,DENISON VILAR DA SAÚDE,DC,MASCULINO,SUPERIOR COMPLETO,ENFERMEIRO,544831.51,3.0,Casa
DEPUTADO ESTADUAL,40002542669,44144,MARCEL ALEXANDRE,UNIÃO,MASCULINO,SUPERIOR COMPLETO,OUTROS,527224.74,6.0,Caderneta de poupança
DEPUTADO ESTADUAL,40002536907,30392,JUNIO LIMA,NOVO,MASCULINO,SUPERIOR COMPLETO,ENGENHEIRO,515000.0,4.0,Terreno
DEPUTADO FEDERAL,40002536454,3022,EFIGÊNIO CARVALHO,NOVO,MASCULINO,SUPERIOR COMPLETO,OUTROS,515000.0,2.0,Outros bens móveis
DEPUTADO ESTADUAL,40002541615,20111,JOÃOZINHO  MIRANDA,PODE,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,514300.0,5.0,OUTROS BENS E DIREITOS
DEPUTADO ESTADUAL,40002534389,10123,JOÃO LUIZ,REPUBLICANOS,MASCULINO,SUPERIOR COMPLETO,LOCUTOR E COMENTARISTA DE RÁDIO E TELEVISÃO E RADIALISTA,510777.9,3.0,Embarcação
DEPUTADO ESTADUAL,40002536911,30444,JEAN CARLOS,NOVO,MASCULINO,SUPERIOR COMPLETO,EMPRESÁRIO,500000.0,1.0,Prédio comercial
DEPUTADO ESTADUAL,40002532785,55100,DELEGADA ANA OLIVEIRA,PSD,FEMININO,SUPERIOR COMPLETO,POLICIAL CIVIL,490000.0,2.0,Apartamento
DEPUTADO FEDERAL,40002533207,1000,AMOM MANDEL,REPUBLICANOS,MASCULINO,SUPERIOR COMPLETO,DEPUTADO,461522.68,18.0,Ações (inclusive as provenientes de linha telefônica)
DEPUTADO ESTADUAL,40002537351,70700,GILMAR NASCIMENTO,AVANTE,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,452257.68,2.0,Apartamento
